カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
モンキー・D・ルフィ,ST13-003_p1,ST13-003,LEADER,L,-,打,5000,0,黒/黄,2,超新星/麦わらの一味,ルール上、自分の表向きのライフは手札に加わる代わりにデッキの下に置かれる。【ドン!!×2】【起動メイン】【ターン1回】自分の手札1枚を捨てることができる：自分のライフが0枚の場合、自分の手札かトラッシュのコスト5のキャラカード2枚までを、自分のライフの上に表向きで加える。,,3兄弟の絆【ST-13】
エドワード・ニューゲート,ST13-004_p1,ST13-004,CHARACTER,C,6,特,7000,1000,黄,2,四皇/白ひげ海賊団,【登場時】自分のデッキの上から1枚をライフの上に加える。その後、自分のライフすべてを見て、1枚を自分のデッキの上に置き、ライフを好きな順番で置く。,,3兄弟の絆【ST-13】
エンポリオ・イワンコフ,ST13-005_p1,ST13-005,CHARACTER,R,3,特,4000,1000,黄,2,革命軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分のライフの上か下から1枚をトラッシュに置くことができる：自分の手札のコスト5のキャラカード1枚までを公開し、ライフの上に裏向きで加える。,,3兄弟の絆【ST-13】
カーリー・ダダン,ST13-006_p1,ST13-006,CHARACTER,C,5,斬,4000,1000,黄,2,山賊,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】自分の手札からコスト2の、「サボ」と「ポートガス・D・エース」と「モンキー・D・ルフィ」それぞれ1枚ずつまでを、登場させる。,,3兄弟の絆【ST-13】
サボ,ST13-007_p1,ST13-007,CHARACTER,C,2,打,2000,1000,黄,2,ゴア王国,【起動メイン】このキャラをトラッシュに置くことができる：自分のライフの上から1枚を公開し、そのカードがコスト5の「サボ」の場合、登場させてもよい。登場させた場合、自分のリーダー1枚までを、次の相手のターン終了時まで、パワー+2000。,,3兄弟の絆【ST-13】
サボ,ST13-008_p1,ST13-008,CHARACTER,SR,5,特,6000,1000,黄,2,ドレスローザ/革命軍,【登場時】自分のライフの上か下から1枚をトラッシュに置くことができる：相手のコスト5以下のキャラ1枚までを、KOする。,,3兄弟の絆【ST-13】
シャンクス,ST13-009_p1,ST13-009,CHARACTER,C,7,斬,7000,0,黄,2,四皇/赤髪海賊団,【登場時】自分の表向きのライフ1枚を裏向きにできる：相手の手札が7枚以上ある場合、相手のライフの上から1枚までをトラッシュに置く。,,3兄弟の絆【ST-13】
ポートガス・D・エース,ST13-010_p1,ST13-010,CHARACTER,C,2,打,2000,1000,黄,2,ゴア王国,【起動メイン】このキャラをトラッシュに置くことができる：自分のライフの上から1枚を公開し、そのカードがコスト5の「ポートガス・D・エース」の場合、登場させてもよい。登場させた場合、自分のリーダー1枚までを、次の相手のターン終了時まで、パワー+2000。,,3兄弟の絆【ST-13】
ポートガス・D・エース,ST13-011_p1,ST13-011,CHARACTER,SR,5,特,7000,0,黄,2,白ひげ海賊団,【登場時】自分のライフが2枚以下の場合、このキャラは【速攻】を得る。(このカードは登場したターンにアタックできる),,3兄弟の絆【ST-13】
マキノ,ST13-012_p1,ST13-012,CHARACTER,C,1,知,-,2000,黄,2,フーシャ村,【登場時】自分のライフの上か下から1枚を手札に加えることができる：自分のライフすべてを見て、好きな順番で置く。,,3兄弟の絆【ST-13】
モンキー・D・ガープ,ST13-013_p1,ST13-013,CHARACTER,SR,1,打,2000,1000,黄,2,海軍,【登場時】自分のデッキの上から5枚を見て、コスト5以下の、「サボ」か「ポートガス・D・エース」か「モンキー・D・ルフィ」1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,3兄弟の絆【ST-13】
モンキー・D・ルフィ,ST13-014_p1,ST13-014,CHARACTER,C,2,打,2000,1000,黄,2,ゴア王国,【起動メイン】このキャラをトラッシュに置くことができる：自分のライフの上から1枚を公開し、そのカードがコスト5の「モンキー・D・ルフィ」の場合、登場させてもよい。登場させた場合、自分のリーダー1枚までを、次の相手のターン終了時まで、パワー+2000。,,3兄弟の絆【ST-13】
モンキー・D・ルフィ,ST13-015_p1,ST13-015,CHARACTER,SR,5,打,6000,1000,黄,2,超新星/麦わらの一味,【起動メイン】【ターン1回】このキャラは、次の自分のターン開始時まで、パワー+2000。その後、自分のライフが1枚以上ある場合、カード1枚を引き、自分のライフの上から1枚をトラッシュに置く。,,3兄弟の絆【ST-13】
ヤマト,ST13-016_p1,ST13-016,CHARACTER,C,5,打,4000,2000,黄,2,ワノ国,【速攻】(このカードは登場したターンにアタックできる)【登場時】自分のライフすべてを見て、1枚を自分のデッキの上に置き、ライフを好きな順番で置く。,,3兄弟の絆【ST-13】
エドワード・ニューゲート,OP02-001_p4,OP02-001,LEADER,L,-,特,6000,0,赤,1,四皇/白ひげ海賊団,【自分のターン終了時】自分のライフの上から1枚を手札に加える。,,スタートデッキ 赤 エドワード・ニューゲート【ST-15】
ウタカタララバイ,P-057_p1,P-057,EVENT,P,3,,-,0,緑,2,音楽/FILM,【メイン】自分のリーダーが「ウタ」の場合、相手のレストのコスト4以下のキャラ2枚までは、次の相手のリフレッシュフェイズでアクティブにならない。,【トリガー】このカードの【メイン】効果を発動する。,スタートデッキ 緑 ウタ【ST-16】
風のゆくえ,P-058_p1,P-058,EVENT,P,2,,-,0,緑,2,音楽/FILM,【メイン】自分のリーダーが「ウタ」の場合、このターン終了時、自分の特徴《FILM》を持つキャラすべてを、アクティブにする。,【トリガー】自分の特徴《FILM》を持つキャラすべてを、アクティブにする。,スタートデッキ 緑 ウタ【ST-16】
世界のつづき,P-059_p1,P-059,EVENT,P,2,,-,0,緑,2,音楽/FILM,【カウンター】自分のリーダーが「ウタ」の場合、自分の場のキャラを任意の枚数手札に戻してもよい。自分のリーダーかキャラ1枚までは、このバトル中、戻したキャラ1枚につきパワー+2000。,,スタートデッキ 緑 ウタ【ST-16】
Tot Musica,P-060_p1,P-060,EVENT,P,2,,-,0,緑,2,音楽/FILM,【メイン】自分の「ウタ」1枚をレストにできる：相手のドン‼2枚までを、レストにする。,,スタートデッキ 緑 ウタ【ST-16】
ウタ,ST11-001_p1,ST11-001,LEADER,L,-,特,5000,0,緑,2,FILM,【ドン‼×1】【アタック時】【ターン1回】自分のデッキの上から1枚を公開し、特徴《FILM》を持つカード1枚までを、手札に加える。その後、残りをデッキの下に置く。,,スタートデッキ 緑 ウタ【ST-16】
逆光,ST11-003_p2,ST11-003,EVENT,C,2,,-,0,緑,2,音楽/FILM,【メイン】自分のリーダーが「ウタ」の場合、以下から1つを選ぶ。・相手のコスト5以下のキャラ1枚までを、レストにする。・相手のレストのコスト5以下のキャラ1枚までを、KOする。,,スタートデッキ 緑 ウタ【ST-16】
新時代,ST11-004_p2,ST11-004,EVENT,SR,1,,-,0,緑,2,音楽/FILM,【メイン】自分のリーダーが「ウタ」の場合、自分のデッキの上から3枚を見て、「新時代」以外の特徴《FILM》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置き、自分のドン‼1枚までを、アクティブにする。,,スタートデッキ 緑 ウタ【ST-16】
私は最強,ST11-005_p2,ST11-005,EVENT,C,3,,-,0,緑,2,音楽/FILM,【メイン】自分のリーダーの「ウタ」1枚までを、アクティブにする。,【トリガー】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。,スタートデッキ 緑 ウタ【ST-16】
ドンキホーテ・ドフラミンゴ,OP01-060_p2,OP01-060,LEADER,L,-,特,5000,0,青,1,王下七武海/ドンキホーテ海賊団,【ドン‼×2】【アタック時】①(コストエリアのドン‼を指定の数レストにできる)：自分のデッキの一番上を公開し、そのカードがコスト4以下の特徴《王下七武海》を持つキャラカードの場合、レストで登場させてもよい。,,スタートデッキ 青 ドンキホーテ・ドフラミンゴ【ST-17】
モンキー・D・ルフィ,OP05-060_p3,OP05-060,LEADER,L,-,打,5000,0,紫,2,麦わらの一味,【起動メイン】【ターン1回】自分のライフの上から1枚を手札に加えることができる：自分の場のドン‼が0枚か、3枚以上ある場合、ドン‼デッキからドン‼1枚までを、アクティブで追加する。,,スタートデッキ 紫 モンキー・D・ルフィ【ST-18】
海は海賊が相手だ!!!,OP05-076_p1,OP05-076,EVENT,R,1,,-,0,紫,2,ワノ国,【メイン】自分のデッキの上から3枚を見て、特徴《麦わらの一味》か《キッド海賊団》か《ハートの海賊団》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,スタートデッキ 紫 モンキー・D・ルフィ【ST-18】
スモーカー,OP02-093_p2,OP02-093,LEADER,L,-,特,5000,0,黒,1,海軍,【ドン‼×1】【起動メイン】【ターン1回】相手のキャラ1枚までを、このターン中、コスト-1。その後、コスト0のキャラがいる場合、このリーダーは、このターン中、パワー+1000。,,スタートデッキ 黒 スモーカー【ST-19】
シャーロット・カタクリ,OP03-099_p2,OP03-099,LEADER,L,-,打,5000,0,黄,1,ビッグ・マム海賊団,【ドン‼×1】【アタック時】自分か相手のライフの上から1枚までを見て、ライフの上か下に置く。その後、このリーダーは、このバトル中、パワー+1000。,,スタートデッキ 黄 シャーロット・カタクリ【ST-20】
モンキー・D・ルフィ,ST21-001_p1,ST21-001,LEADER,L,-,打,5000,0,赤,3,四皇/麦わらの一味,【ドン‼×1】【起動メイン】【ターン1回】自分のキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキEX ギア5【ST-21】
ウソップ,ST21-002_p1,ST21-002,CHARACTER,C,2,射,3000,2000,赤,3,麦わらの一味,【ドン‼×2】【相手のターン中】このキャラのパワー+2000。,,スタートデッキEX ギア5【ST-21】
サンジ,ST21-003_p1,ST21-003,CHARACTER,C,2,打,3000,2000,赤,3,麦わらの一味,【登場時】自分のパワー6000以上の特徴《麦わらの一味》を持つキャラ1枚までを選ぶ。相手は、このターン中、選んだキャラがアタックする場合【ブロッカー】を発動できない。,,スタートデッキEX ギア5【ST-21】
ジュエリー・ボニー,ST21-004_p1,ST21-004,CHARACTER,C,1,特,3000,0,赤,3,エッグヘッド/ボニー海賊団,【ドン‼×2】【KO時】カード1枚を引く。,,スタートデッキEX ギア5【ST-21】
ジンベエ,ST21-005_p1,ST21-005,CHARACTER,C,2,打,4000,1000,赤,3,魚人族/麦わらの一味,-,,スタートデッキEX ギア5【ST-21】
ステューシー,ST21-006_p1,ST21-006,CHARACTER,C,3,特,5000,1000,赤,3,エッグヘッド,-,,スタートデッキEX ギア5【ST-21】
戦桃丸,ST21-007_p1,ST21-007,CHARACTER,C,2,斬,2000,1000,赤,3,エッグヘッド/海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,スタートデッキEX ギア5【ST-21】
トニートニー・チョッパー,ST21-008_p1,ST21-008,CHARACTER,C,4,知,6000,1000,赤,3,動物/麦わらの一味,-,,スタートデッキEX ギア5【ST-21】
ナミ,ST21-009_p1,ST21-009,CHARACTER,C,3,特,1000,1000,赤,3,麦わらの一味,【起動メイン】【ターン1回】自分の特徴《麦わらの一味》を持つ、リーダーかキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキEX ギア5【ST-21】
ニコ・ロビン,ST21-010_p1,ST21-010,CHARACTER,C,3,打,4000,1000,赤,3,麦わらの一味,【ドン‼×2】【アタック時】相手のパワー4000以下のキャラ1枚までを、KOする。,,スタートデッキEX ギア5【ST-21】
フランキー,ST21-011_p1,ST21-011,CHARACTER,C,3,打,4000,1000,赤,3,麦わらの一味,【ドン‼×2】【相手のターン中】自分の元々のパワー4000以下の特徴《麦わらの一味》を持つキャラすべてを、パワー+1000。,,スタートデッキEX ギア5【ST-21】
ブルック,ST21-012_p1,ST21-012,CHARACTER,C,3,斬,4000,1000,赤,3,麦わらの一味,【アタック時】自分のリーダーかキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキEX ギア5【ST-21】
ベガパンク,ST21-013_p1,ST21-013,CHARACTER,C,1,知,3000,1000,赤,3,科学者/エッグヘッド,-,,スタートデッキEX ギア5【ST-21】
モンキー・D・ルフィ,ST21-014_p1,ST21-014,CHARACTER,SR,5,打,6000,0,赤,3,四皇/麦わらの一味,【速攻】(このカードは登場したターンにアタックできる)【アタック時】自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。,,スタートデッキEX ギア5【ST-21】
ロロノア・ゾロ,ST21-015_p1,ST21-015,CHARACTER,SR,4,斬,5000,1000,赤,3,麦わらの一味,【ドン‼×2】このキャラは【速攻】を得る。【KO時】自分の手札から「ロロノア・ゾロ」以外のパワー6000以下の赤のキャラカード1枚までを、登場させる。,,スタートデッキEX ギア5【ST-21】
エース＆ニューゲート,ST22-001_p1,ST22-001,LEADER,L,-,特,5000,0,青,3,四皇/白ひげ海賊団,【起動メイン】【ターン1回】自分の手札から『白ひげ海賊団』を含む特徴を持つカード1枚を公開することができる：カード1枚を引き、公開したカードをデッキの上に置く。,,スタートデッキ エース&ニューゲート【ST-22】
イゾウ,ST22-002_p1,ST22-002,CHARACTER,SR,1,射,-,1000,青,3,ワノ国/白ひげ海賊団,【登場時】自分のデッキの上から5枚を見て、「イゾウ」以外の『白ひげ海賊団』を含む特徴を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。【相手のアタック時】このキャラをトラッシュに置くことができる：カード1枚を引き、自分の手札1枚をデッキの下に置く。,,スタートデッキ エース&ニューゲート【ST-22】
エドワード・ニューゲート,ST22-003_p1,ST22-003,CHARACTER,C,9,特,10000,0,青,3,四皇/白ひげ海賊団,【ダブルアタック】(このカードが与えるダメージは2になる)【登場時】自分のデッキの上から1枚を公開し、そのカードが『白ひげ海賊団』を含む特徴を持つ場合、カード2枚を引く。,,スタートデッキ エース&ニューゲート【ST-22】
エルミー,ST22-004_p1,ST22-004,CHARACTER,C,3,打,5000,1000,青,3,白ひげ海賊団傘下,-,,スタートデッキ エース&ニューゲート【ST-22】
光月おでん,ST22-005_p1,ST22-005,CHARACTER,SR,7,斬,8000,0,青,3,ワノ国/光月家/白ひげ海賊団,このキャラが相手の効果で場を離れる場合、代わりに自分の手札2枚を捨てることができる。【起動メイン】【ターン1回】自分のドン‼3枚をレストにし、このキャラ以外の自分のキャラ1枚を持ち主の手札に戻すことができる：このキャラをアクティブにする。,,スタートデッキ エース&ニューゲート【ST-22】
ジョズ,ST22-006_p1,ST22-006,CHARACTER,C,7,打,8000,1000,青,3,白ひげ海賊団,【登場時】自分のデッキの上から1枚を公開し、そのカードが『白ひげ海賊団』を含む特徴を持つ場合、カード2枚を引き、自分の手札1枚を捨てる。,,スタートデッキ エース&ニューゲート【ST-22】
スクアード,ST22-007_p1,ST22-007,CHARACTER,C,1,斬,2000,1000,青,3,白ひげ海賊団傘下,【起動メイン】【ターン1回】自分のデッキの上から1枚を公開し、そのカードが『白ひげ海賊団』を含む特徴を持つ場合、自分のリーダーかキャラ1枚にレストのドン!!1枚までを、付与する。,,スタートデッキ エース&ニューゲート【ST-22】
ディカルバン兄弟,ST22-008_p1,ST22-008,CHARACTER,C,2,打,4000,1000,青,3,白ひげ海賊団傘下,-,,スタートデッキ エース&ニューゲート【ST-22】
ビスタ,ST22-009_p1,ST22-009,CHARACTER,C,1,斬,1000,0,青,3,白ひげ海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,スタートデッキ エース&ニューゲート【ST-22】
ポートガス・Ｄ・エース,ST22-010_p1,ST22-010,CHARACTER,C,5,特,6000,2000,青,3,白ひげ海賊団,-,,スタートデッキ エース&ニューゲート【ST-22】
ホワイティベイ,ST22-011_p1,ST22-011,CHARACTER,C,1,斬,1000,2000,青,3,白ひげ海賊団,【自分のターン中】【登場時】自分の手札から『白ひげ海賊団』を含む特徴を持つカード2枚を公開することができる：自分の『白ひげ海賊団』を含む特徴を持つリーダー1枚までを、このターン中、パワー+2000。,,スタートデッキ エース&ニューゲート【ST-22】
マルコ,ST22-012_p1,ST22-012,CHARACTER,C,4,特,5000,1000,青,3,白ひげ海賊団,【ターン1回】このキャラが相手の効果でKOされる場合、代わりに自分の手札1枚を捨てることができる。【アタック時】自分のデッキの上から1枚を公開し、そのカードが『白ひげ海賊団』を含む特徴を持つ場合、このキャラは、次の相手のターン終了時まで、パワー+1000。,,スタートデッキ エース&ニューゲート【ST-22】
リトルオーズJr.,ST22-013_p1,ST22-013,CHARACTER,C,5,打,7000,1000,青,3,巨人族/白ひげ海賊団傘下,-,,スタートデッキ エース&ニューゲート【ST-22】
Ａ・Ｏ,ST22-014_p1,ST22-014,CHARACTER,C,4,斬,6000,1000,青,3,白ひげ海賊団傘下,-,,スタートデッキ エース&ニューゲート【ST-22】
シャンクス,OP09-001_p2,OP09-001,LEADER,L,-,斬,5000,0,赤,3,四皇/赤髪海賊団,【ターン1回】相手がアタックした時、発動できる。相手のリーダーかキャラ1枚までを、このターン中、パワー-1000。,,スタートデッキ 赤 シャンクス【ST-23】
来い…!!!おれ達が相手をしてやる!!!,OP09-020_p1,OP09-020,EVENT,R,1,,-,0,赤,3,四皇/赤髪海賊団,【メイン】自分のデッキの上から5枚を見て、「来い…!!!おれ達が相手をしてやる!!!」以外の特徴《赤髪海賊団》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】カード1枚を引く。,スタートデッキ 赤 シャンクス【ST-23】
ジュエリー・ボニー,OP07-019_p3,OP07-019,LEADER,L,-,特,5000,0,緑,2,超新星/ボニー海賊団,【相手のアタック時】【ターン1回】自分のドン‼1枚をレストにできる：相手の、リーダーかキャラ1枚までを、レストにする。,,スタートデッキ 緑 ジュエリー・ボニー【ST-24】
鬼気 九刀流 阿修羅 魔九閃,OP07-036_p1,OP07-036,EVENT,R,2,,-,0,緑,2,超新星/麦わらの一味,【メイン】自分のリーダーかキャラ1枚までを、このターン中、パワー+3000。その後、自分のコスト3以上のキャラ1枚をレストにできる。そうした場合、相手のコスト5以下のキャラ1枚までを、レストにする。,【トリガー】相手のコスト4以下のキャラ1枚までを、レストにする。,スタートデッキ 緑 ジュエリー・ボニー【ST-24】
バギー,OP09-042_p2,OP09-042,LEADER,L,-,斬,5000,0,青,3,四皇/クロスギルド,【起動メイン】自分のドン‼5枚をレストにし、自分の手札1枚を捨てることができる：自分の手札から特徴《クロスギルド》を持つキャラカード1枚までを、登場させる。,,スタートデッキ 青 バギー【ST-25】
クロスギルド,OP09-057_p1,OP09-057,EVENT,R,1,,-,0,青,3,クロスギルド,【メイン】自分のデッキの上から4枚を見て、特徴《クロスギルド》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】このカードの【メイン】効果を発動する。,スタートデッキ 青 バギー【ST-25】
モンキー・Ｄ・ルフィ,OP09-061_p2,OP09-061,LEADER,L,-,打,5000,0,紫/黒,3,四皇/麦わらの一味,【ドン‼×1】自分のキャラすべてを、コスト+1。【自分のターン中】【ターン1回】自分の場のドン!!が2枚以上ドン!!デッキに戻された時、ドン!!デッキから、ドン!!1枚までをアクティブで追加し、さらに1枚までをレストで追加する。,,スタートデッキ 紫黒 モンキー・D・ルフィ【ST-26】
ゴムゴムの巨人,OP09-078_p1,OP09-078,EVENT,R,1,,-,0,紫,3,四皇/麦わらの一味,"【カウンター】ドン!!-2,自分の手札1枚を捨てることができる：自分のリーダーが特徴《麦わらの一味》を持つ場合、自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、カード2枚を引く。",,スタートデッキ 紫黒 モンキー・D・ルフィ【ST-26】
マーシャル・Ｄ・ティーチ,OP09-081_p2,OP09-081,LEADER,L,-,特,5000,0,黒,3,四皇/黒ひげ海賊団,自分の【登場時】効果は無効になる。【起動メイン】自分の手札1枚を捨てることができる：次の相手のターン終了時まで、相手の【登場時】効果は無効になる。,,スタートデッキ 黒 マーシャル・Ｄ・ティーチ【ST-27】
ヤマト,OP06-022_p3,OP06-022,LEADER,L,-,打,5000,0,緑/黄,2,ワノ国,【ダブルアタック】(このカードが与えるダメージは2になる)【起動メイン】【ターン1回】相手のライフが3枚以下の場合、自分のキャラ1枚にレストのドン!!2枚までを、付与する。,,スタートデッキ 緑黄 ヤマト【ST-28】
焔裂き,OP07-116_p1,OP07-116,EVENT,R,1,,-,0,黄,2,ワノ国/赤鞘九人男,【メイン】/【カウンター】自分のリーダーかキャラ1枚までを、このターン中、パワー+1000。その後、相手のライフが2枚以下の場合、相手のコスト4以下のキャラ1枚までを、レストにする。,【トリガー】相手のコスト4以下のキャラ1枚までを、レストにする。,スタートデッキ 緑黄 ヤマト【ST-28】
モンキー・Ｄ・ルフィ,ST29-001_p1,ST29-001,LEADER,L,-,打,5000,0,黄,4,エッグヘッド/四皇/麦わらの一味,【アタック時】自分のライフが2枚以下の場合、カード1枚を引き、自分の手札1枚を捨てる。,,スタートデッキ EGGHEAD【ST-29】
ウソップ,ST29-002_p1,ST29-002,CHARACTER,C,3,射,4000,1000,黄,4,エッグヘッド/麦わらの一味,【登場時】/【アタック時】相手のライフの枚数以下のコストを持つ相手のキャラ1枚までを、レストにする。,,スタートデッキ EGGHEAD【ST-29】
カク,ST29-003_p1,ST29-003,CHARACTER,C,4,斬,5000,1000,黄,4,エッグヘッド/CP0,自分のライフの枚数が相手のライフの枚数以下の場合、このキャラのパワー+1000。,【トリガー】相手のコスト3以下のキャラ1枚までを、KOする。,スタートデッキ EGGHEAD【ST-29】
サンジ,ST29-004_p1,ST29-004,CHARACTER,SR,4,打,5000,1000,黄,4,エッグヘッド/麦わらの一味,【登場時】自分のデッキの上から4枚を見て、特徴《麦わらの一味》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,【トリガー】自分の手札1枚を捨てることができる：このカードを登場させる。,スタートデッキ EGGHEAD【ST-29】
ジンベエ,ST29-005_p1,ST29-005,CHARACTER,C,6,打,5000,2000,黄,4,魚人族/エッグヘッド/麦わらの一味,-,【トリガー】自分のリーダーが「モンキー・Ｄ・ルフィ」の場合、このカードを登場させる。,スタートデッキ EGGHEAD【ST-29】
ステューシー,ST29-006_p1,ST29-006,CHARACTER,C,6,特,7000,2000,黄,4,エッグヘッド,-,,スタートデッキ EGGHEAD【ST-29】
トニートニー・チョッパー,ST29-007_p1,ST29-007,CHARACTER,C,4,知,5000,1000,黄,4,動物/エッグヘッド/麦わらの一味,【KO時】自分のライフの上か下から1枚を手札に加えることができる：自分の手札1枚までを、ライフの上に加える。,【トリガー】自分の「モンキー・Ｄ・ルフィ」を、このターン中、パワー+2000。,スタートデッキ EGGHEAD【ST-29】
ナミ,ST29-008_p1,ST29-008,CHARACTER,C,3,特,1000,1000,黄,4,エッグヘッド/麦わらの一味,自分の特徴《エッグヘッド》を持つキャラが相手の効果でKOされる場合、代わりに自分のライフの上から1枚を表向きにできる。,【トリガー】自分のリーダーが「モンキー・Ｄ・ルフィ」の場合、このカードを登場させる。,スタートデッキ EGGHEAD【ST-29】
ニコ・ロビン,ST29-009_p1,ST29-009,CHARACTER,C,4,打,2000,2000,黄,4,エッグヘッド/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】自分のリーダーが「モンキー・Ｄ・ルフィ」の場合、このカードを登場させる。,スタートデッキ EGGHEAD【ST-29】
フランキー,ST29-010_p1,ST29-010,CHARACTER,C,5,射,6000,2000,黄,4,エッグヘッド/麦わらの一味,-,,スタートデッキ EGGHEAD【ST-29】
ブルック,ST29-011_p1,ST29-011,CHARACTER,C,2,斬,2000,1000,黄,4,エッグヘッド/麦わらの一味,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,スタートデッキ EGGHEAD【ST-29】
