カード名,カードID,カードコード,タイプ,レアリティ,コスト,属性,パワー,カウンター,色,ブロックアイコン,特徴,テキスト,トリガー,入手情報
カイドウ,ST04-001,ST04-001,LEADER,L,-,打,5000,0,紫,1,四皇/百獣海賊団,【起動メイン】【ターン1回】ドン!!-7(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：相手のライフ1枚までをトラッシュに置く。,,百獣海賊団【ST-04】
うるティ,ST04-002,ST04-002,CHARACTER,C,4,打,5000,2000,紫,1,百獣海賊団,【登場時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：自分の手札のコスト4以下の「ページワン」1枚までを、登場させる。,,百獣海賊団【ST-04】
カイドウ,ST04-003,ST04-003,CHARACTER,SR,9,打,10000,0,紫,1,四皇/百獣海賊団,【登場時】ドン!!-5(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：相手のコスト6以下のキャラ1枚までを、KOし、このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,百獣海賊団【ST-04】
キング,ST04-004,ST04-004,CHARACTER,SR,6,特,7000,0,紫,1,百獣海賊団,【登場時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：相手のコスト4以下のキャラ1枚までを、KOする。,,百獣海賊団【ST-04】
クイーン,ST04-005,ST04-005,CHARACTER,C,5,打,6000,1000,紫,1,百獣海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【登場時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：カード2枚を引き、自分の手札1枚を捨てる。,,百獣海賊団【ST-04】
ササキ,ST04-006,ST04-006,CHARACTER,C,3,射,4000,1000,紫,1,百獣海賊団,【登場時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：カード1枚を引く。,,百獣海賊団【ST-04】
シープスヘッド,ST04-007,ST04-007,CHARACTER,C,2,斬,4000,1000,紫,1,百獣海賊団/SMILE,-,,百獣海賊団【ST-04】
ジャック,ST04-008,ST04-008,CHARACTER,C,3,打,4000,1000,紫,1,百獣海賊団,【登場時】自分の手札1枚を捨てることができる：ドン!!デッキからドン!!1枚までをアクティブで追加する。,,百獣海賊団【ST-04】
ジンラミー,ST04-009,ST04-009,CHARACTER,C,1,打,3000,1000,紫,1,百獣海賊団/SMILE,-,,百獣海賊団【ST-04】
フーズ・フー,ST04-010,ST04-010,CHARACTER,C,3,斬,3000,0,紫,1,百獣海賊団,【登場時】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：相手のコスト3以下のキャラ1枚までを、KOする。,【トリガー】このカードを登場させる。,百獣海賊団【ST-04】
ブラックマリア,ST04-011,ST04-011,CHARACTER,C,2,特,2000,1000,紫,1,百獣海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,百獣海賊団【ST-04】
ページワン,ST04-012,ST04-012,CHARACTER,C,4,打,6000,1000,紫,1,百獣海賊団,-,,百獣海賊団【ST-04】
X・ドレーク,ST04-013,ST04-013,CHARACTER,C,3,斬,5000,1000,紫,1,海軍/ドレーク海賊団/百獣海賊団,-,,百獣海賊団【ST-04】
大看板”災害”,ST04-014,ST04-014,EVENT,C,4,,-,0,紫,1,百獣海賊団,【メイン】カード1枚を引き、ドン!!デッキからドン!!1枚までをアクティブで追加する。,【トリガー】このカードの【メイン】効果を発動する。,百獣海賊団【ST-04】
無頼男爆弾,ST04-015,ST04-015,EVENT,C,6,,-,0,紫,1,百獣海賊団,【メイン】相手のコスト6以下のキャラ1枚までを、KOし、ドン!!デッキからドン!!1枚までをアクティブで追加する。,【トリガー】ドン!!デッキからドン!!1枚までをアクティブで追加する。,百獣海賊団【ST-04】
熱息,ST04-016,ST04-016,EVENT,C,1,,-,0,紫,1,四皇/百獣海賊団,【カウンター】ドン!!-1(自分の場のドン!!を指定の数ドン!!デッキに戻すことができる)：自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。,,百獣海賊団【ST-04】
鬼ヶ島,ST04-017,ST04-017,STAGE,C,3,,-,0,紫,1,百獣海賊団,【起動メイン】このステージをレストにできる：自分のリーダーが特徴《百獣海賊団》を持つ場合、ドン!!デッキからドン!!1枚までをレストで追加する。,,百獣海賊団【ST-04】
シャンクス,ST05-001,ST05-001,LEADER,L,-,斬,5000,0,紫,1,FILM/四皇/赤髪海賊団,【起動メイン】【ターン1回】ドン‼-3(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：自分の特徴《FILM》を持つキャラすべてを、このターン中、パワー+2000。,,ONE PIECE FILM edition【ST-05】
アイン,ST05-002,ST05-002,CHARACTER,C,4,特,5000,0,紫,1,FILM/NEO海軍,【登場時】ドン‼デッキからドン‼1枚までをレストで追加する。,,ONE PIECE FILM edition【ST-05】
アン,ST05-003,ST05-003,CHARACTER,C,2,特,3000,0,紫,1,FILM/海賊万博,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,ONE PIECE FILM edition【ST-05】
ウタ,ST05-004,ST05-004,CHARACTER,SR,4,特,5000,1000,紫,1,FILM,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる)【ブロック時】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手のコスト5以下のキャラ1枚までを、レストにする。,,ONE PIECE FILM edition【ST-05】
カリーナ,ST05-005,ST05-005,CHARACTER,C,2,知,3000,1000,紫,1,FILM/グラン・テゾーロ,【起動メイン】【ターン1回】このキャラをレストにする，自分の手札の特徴《FILM》を持つカード1枚をトラッシュに置くことができる：相手の場のドン‼の枚数が自分の場のドン‼の枚数より多い場合、ドン‼デッキからドン‼2枚をレストで追加する。,,ONE PIECE FILM edition【ST-05】
ギルド・テゾーロ,ST05-006,ST05-006,CHARACTER,C,5,特,6000,0,紫,1,FILM/グラン・テゾーロ,【アタック時】ドン‼-2(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：カード2枚を引く。,,ONE PIECE FILM edition【ST-05】
ゴードン,ST05-007,ST05-007,CHARACTER,C,1,知,3000,1000,紫,1,FILM,-,,ONE PIECE FILM edition【ST-05】
シキ,ST05-008,ST05-008,CHARACTER,C,6,斬,7000,1000,紫,1,FILM/金獅子海賊団,自分の場にドン‼が8枚以上ある場合、このキャラはバトルでKOされない。,,ONE PIECE FILM edition【ST-05】
スカーレット,ST05-009,ST05-009,CHARACTER,C,2,打,3000,1000,紫,1,FILM/動物/金獅子海賊団,-,【トリガー】このカードを登場させる。,ONE PIECE FILM edition【ST-05】
ゼット,ST05-010,ST05-010,CHARACTER,C,7,打,8000,0,紫,1,FILM/NEO海軍,このキャラが属性(打)を持つキャラとバトルする時、このキャラは、このターン中、パワー+3000。【起動メイン】【ターン1回】ドン‼-1(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：このキャラは、このターン中、パワー+2000。,,ONE PIECE FILM edition【ST-05】
ダグラス・バレット,ST05-011,ST05-011,CHARACTER,SR,8,特,10000,0,紫,1,FILM/海賊万博,【起動メイン】【ターン1回】ドン‼-4(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手のコスト6以下のキャラ2枚までを、レストにする。その後、このキャラは、このターン中、【ダブルアタック】を得る。(このカードが与えるダメージは2になる),,ONE PIECE FILM edition【ST-05】
バカラ,ST05-012,ST05-012,CHARACTER,C,3,特,5000,1000,紫,1,FILM/グラン・テゾーロ,-,,ONE PIECE FILM edition【ST-05】
ビンズ,ST05-013,ST05-013,CHARACTER,C,4,特,6000,1000,紫,1,FILM/NEO海軍,-,,ONE PIECE FILM edition【ST-05】
ブエナ・フェスタ,ST05-014,ST05-014,CHARACTER,C,1,知,-,2000,紫,1,FILM/海賊万博,【登場時】自分のデッキの上から5枚を見て、「ブエナ・フェスタ」以外の特徴《FILM》を持つカード1枚までを公開し、手札に加える。その後、残りを好きな順番でデッキの下に置く。,,ONE PIECE FILM edition【ST-05】
Dr.インディゴ,ST05-015,ST05-015,CHARACTER,C,2,知,4000,1000,紫,1,FILM/科学者/金獅子海賊団,-,,ONE PIECE FILM edition【ST-05】
獅子威し御所地巻き,ST05-016,ST05-016,EVENT,C,3,,-,0,紫,1,FILM/金獅子海賊団,【メイン】ドン‼-2(自分の場のドン‼を指定の数ドン‼デッキに戻すことができる)：相手のコスト5以下のキャラ1枚までを、KOする。,【トリガー】ドン‼デッキからドン‼1枚までをアクティブで追加する。,ONE PIECE FILM edition【ST-05】
鎧合体,ST05-017,ST05-017,EVENT,C,2,,-,0,紫,1,FILM/海賊万博,【カウンター】自分の特徴《FILM》を持つ、リーダーかキャラ1枚までを、このバトル中、パワー+4000。そのカードがキャラの場合、そのキャラは、このターン中、KOされない。,【トリガー】ドン‼デッキからドン‼1枚までをアクティブで追加する。,ONE PIECE FILM edition【ST-05】
サカズキ,ST06-001,ST06-001,LEADER,L,-,特,5000,0,黒,1,海軍,【起動メイン】【ターン1回】③(コストエリアのドン‼を指定の数レストにできる)，自分の手札1枚を捨てることができる：相手のコスト0のキャラ1枚までを、KOする。,,海軍【ST-06】
コビー,ST06-002,ST06-002,CHARACTER,C,1,打,2000,1000,黒,1,海軍,【登場時】自分の手札1枚を捨てることができる：相手のコスト0のキャラ1枚までを、KOする。,,海軍【ST-06】
ジャンゴ,ST06-003,ST06-003,CHARACTER,C,1,斬,3000,1000,黒,1,海軍,-,,海軍【ST-06】
スモーカー,ST06-004,ST06-004,CHARACTER,SR,5,特,7000,0,黒,1,海軍,このキャラは効果でKOされない。【ドン!!×1】コスト0のキャラがいる場合、このキャラは【ダブルアタック】を得る。(このカードが与えるダメージは2になる),,海軍【ST-06】
センゴク,ST06-005,ST06-005,CHARACTER,C,5,知,6000,1000,黒,1,海軍,【アタック時】相手のキャラ1枚までを、このターン中、コスト-4。,,海軍【ST-06】
たしぎ,ST06-006,ST06-006,CHARACTER,C,3,斬,4000,2000,黒,1,海軍,【起動メイン】このキャラをレストにできる：相手のキャラ1枚までを、このターン中、コスト-2。,,海軍【ST-06】
つる,ST06-007,ST06-007,CHARACTER,C,2,知,2000,1000,黒,1,海軍,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),,海軍【ST-06】
ヒナ,ST06-008,ST06-008,CHARACTER,C,3,特,5000,0,黒,1,海軍,【登場時】相手のキャラ1枚までを、このターン中、コスト-4。,,海軍【ST-06】
フルボディ,ST06-009,ST06-009,CHARACTER,C,2,打,4000,1000,黒,1,海軍,-,,海軍【ST-06】
ヘルメッポ,ST06-010,ST06-010,CHARACTER,C,2,斬,3000,1000,黒,1,海軍,【登場時】相手のキャラ1枚までを、このターン中、コスト-3。,,海軍【ST-06】
モモンガ,ST06-011,ST06-011,CHARACTER,C,4,斬,6000,1000,黒,1,海軍,-,,海軍【ST-06】
モンキー・D・ガープ,ST06-012,ST06-012,CHARACTER,SR,5,打,6000,0,黒,1,海軍,【起動メイン】自分の手札1枚を捨て、このキャラをレストにできる：相手のコスト4以下のキャラ1枚までを、KOする。,,海軍【ST-06】
Tボーン,ST06-013,ST06-013,CHARACTER,C,3,斬,5000,1000,黒,1,海軍,-,,海軍【ST-06】
衝撃波,ST06-014,ST06-014,EVENT,C,2,,-,0,黒,1,海軍,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+4000。その後、相手のアクティブのコスト3以下のキャラ1枚までを、KOする。,【トリガー】相手のコスト4以下のキャラ1枚までを、KOする。,海軍【ST-06】
大噴火,ST06-015,ST06-015,EVENT,C,1,,-,0,黒,1,海軍,【メイン】カード1枚を引く。その後、相手のキャラ1枚までを、このターン中、コスト-2。,【トリガー】相手は自身の手札1枚を選び、捨てる。,海軍【ST-06】
ホワイト・アウト,ST06-016,ST06-016,EVENT,C,1,,-,0,黒,1,海軍,【カウンター】自分のリーダーかキャラ1枚までを、このバトル中、パワー+2000。,【トリガー】カード1枚を引き、自分のキャラは、このターン中、KOされない。,海軍【ST-06】
海軍本部,ST06-017,ST06-017,STAGE,C,1,,-,0,黒,1,海軍,【登場時】相手のキャラ1枚までを、このターン中、コスト-1。【起動メイン】このステージをレストにできる：自分のリーダーが特徴《海軍》を持つ場合、相手のキャラ1枚までを、このターン中、コスト-1。,,海軍【ST-06】
シャーロット・リンリン,ST07-001,ST07-001,LEADER,L,-,特,5000,0,黄,1,四皇/ビッグ・マム海賊団,【ドン‼×2】【アタック時】自分のライフの上か下から1枚を手札に加えることができる：自分のライフが2枚以下の場合、自分の手札1枚までを、ライフの上に加える。,,ビッグ・マム海賊団【ST-07】
シャーロット・アナナ,ST07-002,ST07-002,CHARACTER,C,1,知,3000,1000,黄,1,ビッグ・マム海賊団,-,,ビッグ・マム海賊団【ST-07】
シャーロット・カタクリ,ST07-003,ST07-003,CHARACTER,SR,4,打,6000,0,黄,1,ビッグ・マム海賊団,【登場時】自分か相手のライフの上から1枚までを見て、ライフの上か下に置く。その後、自分のライフの枚数が相手より少ない場合、このキャラは、このターン中、【速攻】を得る。(このカードは登場したターンにアタックできる),,ビッグ・マム海賊団【ST-07】
シャーロット・スナック,ST07-004,ST07-004,CHARACTER,C,5,斬,6000,0,黄,1,ビッグ・マム海賊団,【ドン!!×1】【アタック時】自分のライフの上か下から1枚を手札に加えることができる：このキャラは、このバトル中、【バニッシュ】を得て、パワー+1000。(このカードがダメージを与えた場合、トリガーは発動せずそのカードはトラッシュに置かれる),,ビッグ・マム海賊団【ST-07】
シャーロット・ダイフク,ST07-005,ST07-005,CHARACTER,C,4,斬,5000,1000,黄,1,ビッグ・マム海賊団,【ドン!!×1】【アタック時】自分のライフの上か下から1枚を手札に加えることができる：自分のデッキの上から1枚までを、ライフの上に加える。,,ビッグ・マム海賊団【ST-07】
シャーロット・フランぺ,ST07-006,ST07-006,CHARACTER,C,2,射,4000,1000,黄,1,ビッグ・マム海賊団,-,,ビッグ・マム海賊団【ST-07】
シャーロット・ブリュレ,ST07-007,ST07-007,CHARACTER,C,3,特,1000,1000,黄,1,ビッグ・マム海賊団,【ブロッカー】(相手のアタックの後、このカードをレストにし、アタックの対象をこのカードにできる),【トリガー】このカードを登場させる。,ビッグ・マム海賊団【ST-07】
シャーロット・プリン,ST07-008,ST07-008,CHARACTER,C,2,知,3000,2000,黄,1,ビッグ・マム海賊団,【登場時】自分か相手のライフの上から1枚までを見て、ライフの上か下に置く。,,ビッグ・マム海賊団【ST-07】
シャーロット・モンドール,ST07-009,ST07-009,CHARACTER,C,3,特,4000,1000,黄,1,ビッグ・マム海賊団,【起動メイン】このキャラをレストにし、自分のライフの上か下から1枚を手札に加えることができる：相手のコスト3以下のキャラ1枚までを、KOする。,【トリガー】自分の手札1枚を捨てることができる：このカードを登場させる。,ビッグ・マム海賊団【ST-07】
シャーロット・リンリン,ST07-010,ST07-010,CHARACTER,SR,7,特,8000,0,黄,1,四皇/ビッグ・マム海賊団,【登場時】相手は以下から1つを選ぶ。・相手のライフの上から1枚をトラッシュに置く。・自分のデッキの上から1枚をライフの上に加える。,,ビッグ・マム海賊団【ST-07】
ゼウス,ST07-011,ST07-011,CHARACTER,C,3,特,3000,1000,黄,1,ビッグ・マム海賊団/ホーミーズ,【起動メイン】このキャラをレストにできる：自分の「シャーロット・リンリン」1枚までは、このターン中、【バニッシュ】を得る。(このカードがダメージを与えた場合、トリガーは発動せずそのカードはトラッシュに置かれる),【トリガー】このカードを登場させる。,ビッグ・マム海賊団【ST-07】
タマゴ男爵,ST07-012,ST07-012,CHARACTER,C,4,打,6000,1000,黄,1,ビッグ・マム海賊団,-,,ビッグ・マム海賊団【ST-07】
